Chennai,432344,380274,46367,5703,15-05-2021
Coimbatore,112358,91328,20173,857,15-05-2021
Cuddalore,37201,32618,4194,389,15-05-2021
Dharmapuri,13055,10889,2085,81,15-05-2021
Dindigul,20511,17845,2409,257,15-05-2021
Erode,31865,26180,5497,188,15-05-2021
Kallakurichi,15324,13404,1802,118,15-05-2021
Kancheepuram,49459,42966,5789,704,15-05-2021
Kanyakumari,31756,24874,6443,439,15-05-2021
Karur,11443,9731,1617,95,15-05-2021
Krishnagiri,22245,17127,4960,158,15-05-2021
Madurai,46060,36705,8691,664,15-05-2021
Nagapattinam,18599,16008,2370,221,15-05-2021
Namakkal,21586,18650,2779,157,15-05-2021
Nilgiris,12339,10677,1603,59,15-05-2021
Perambalur,4405,3098,1271,36,15-05-2021
Pudukottai,16901,14783,1947,171,15-05-2021
Ramanathapuram,11936,9741,2047,148,15-05-2021
Ranipet,26667,23344,3052,271,15-05-2021
Salem,51003,46026,4309,668,15-05-2021
Sivagangai,10995,9433,1420,142,15-05-2021
Tenkasi,15959,13267,2456,236,15-05-2021
Thanjavur,33571,28500,4685,386,15-05-2021
Theni,26474,22414,3798,262,15-05-2021
Thirupathur,14276,11604,2454,218,15-05-2021
Thiruvallur,79022,70292,7730,1000,15-05-2021
Thiruvannamalai,30243,25730,4169,344,15-05-2021
Thiruvarur,19347,17276,1923,148,15-05-2021
Thoothukudi,34420,28916,5319,185,15-05-2021
Tirunelveli,35159,28741,6132,286,15-05-2021
Tiruppur,35671,29759,5639,273,15-05-2021
Trichy,35398,28341,6730,327,15-05-2021
Vellore,34794,30587,3734,473,15-05-2021
Villupuram,25603,22183,3266,154,15-05-2021
Virudhunagar,25886,21607,3999,280,15-05-2021
AirportSurveillance(International),1004,1001,2,1,15-05-2021
AirportSurveillance(Domestic),1075,1074,0,1,15-05-2021
RailwaySurveillance,428,428,0,0,15-05-2021
Ariyalur,7581,6104,1415,62,16-05-2021
Chengalpattu,113419,98401,13788,1230,16-05-2021
Chennai,438391,385297,47330,5764,16-05-2021
Coimbatore,115532,92479,22181,872,16-05-2021
Cuddalore,38062,32890,4773,399,16-05-2021
Dharmapuri,13390,11079,2226,85,16-05-2021
Dindigul,20891,18288,2342,261,16-05-2021
Erode,33100,26822,6088,190,16-05-2021
Kallakurichi,15846,13480,2248,118,16-05-2021
Kancheepuram,50601,44125,5764,712,16-05-2021
Kanyakumari,32794,25184,7159,451,16-05-2021
Karur,11627,9995,1527,105,16-05-2021
Krishnagiri,22936,17239,5539,158,16-05-2021
Madurai,47159,37239,9246,674,16-05-2021
Nagapattinam,19201,16335,2638,228,16-05-2021
Namakkal,21966,19095,2708,163,16-05-2021
Nilgiris,12716,10747,1910,59,16-05-2021
Perambalur,4661,3145,1478,38,16-05-2021
Pudukottai,17233,14932,2129,172,16-05-2021
Ramanathapuram,12153,9869,2135,149,16-05-2021
Ranipet,26911,23658,2976,277,16-05-2021
Salem,51829,46184,4969,676,16-05-2021
Sivagangai,11221,9572,1507,142,16-05-2021
Tenkasi,16416,13414,2761,241,16-05-2021
Thanjavur,34221,29403,4426,392,16-05-2021
Theni,27157,22816,4073,268,16-05-2021
Thirupathur,14778,11879,2674,225,16-05-2021
Thiruvallur,80850,71383,8452,1015,16-05-2021
Thiruvannamalai,30702,26147,4207,348,16-05-2021
Thiruvarur,19884,17617,2118,149,16-05-2021
Thoothukudi,35335,29762,5384,189,16-05-2021
Tirunelveli,35849,29011,6547,291,16-05-2021
Tiruppur,36592,30292,6025,275,16-05-2021
Trichy,36975,29156,7482,337,16-05-2021
Vellore,35302,31158,3630,514,16-05-2021
Villupuram,26098,22600,3341,157,16-05-2021
AirportSurveillance(International),1004,1001,2,1,16-05-2021
AirportSurveillance(Domestic),1075,1074,0,1,16-05-2021
RailwaySurveillance,428,428,0,0,16-05-2021
Ariyalur,7775,6244,1469,62,17-05-2021
Chengalpattu,115595,99426,14906,1263,17-05-2021
Chennai,444371,390364,48156,5851,17-05-2021
Coimbatore,118804,93723,24195,886,17-05-2021
Cuddalore,38830,33453,4977,400,17-05-2021
Dharmapuri,13730,11195,2447,88,17-05-2021
Dindigul,21256,18508,2479,269,17-05-2021
Erode,34189,27238,6753,198,17-05-2021
Kallakurichi,16225,13756,2351,118,17-05-2021
Kancheepuram,51848,45005,6119,724,17-05-2021
Kanyakumari,33865,25598,7802,465,17-05-2021
Karur,11888,10100,1681,107,17-05-2021
Krishnagiri,23655,17505,5991,159,17-05-2021
Madurai,48441,37918,9833,690,17-05-2021
Nagapattinam,19862,16518,3112,232,17-05-2021
Namakkal,22400,19353,2881,166,17-05-2021
Nilgiris,13087,10901,2126,60,17-05-2021
Perambalur,4802,3188,1574,40,17-05-2021
Pudukottai,17638,15217,2247,174,17-05-2021
Ramanathapuram,12498,9955,2392,151,17-05-2021
Ranipet,27336,24141,2911,284,17-05-2021
Salem,52442,46834,4923,685,17-05-2021
Sivagangai,11448,9744,1561,143,17-05-2021
Tenkasi,16788,13843,2703,242,17-05-2021
Thanjavur,35241,30233,4606,402,17-05-2021
Theni,27851,23024,4553,274,17-05-2021
Thirupathur,15428,12066,3136,226,17-05-2021
Thiruvallur,82735,71883,9817,1035,17-05-2021
Thiruvannamalai,31214,26583,4276,355,17-05-2021
Thiruvarur,20438,17782,2501,155,17-05-2021
Thoothukudi,36365,30703,5468,194,17-05-2021
Tirunelveli,36201,29376,6528,297,17-05-2021
Tiruppur,37480,30921,6279,280,17-05-2021
Trichy,38525,30016,8157,352,17-05-2021
Vellore,35525,31683,3321,521,17-05-2021
Villupuram,26452,22936,3347,169,17-05-2021
Virudhunagar,26556,22254,4016,286,17-05-2021
AirportSurveillance(International),1004,1001,2,1,17-05-2021
AirportSurveillance(Domestic),1075,1074,0,1,17-05-2021
RailwaySurveillance,428,428,0,0,17-05-2021
Ariyalur,7951,6378,1511,62,18-05-2021
Chengalpattu,117898,101427,15171,1300,18-05-2021
Chennai,450267,395873,48455,5939,18-05-2021
Coimbatore,121884,95028,25951,905,18-05-2021
Cuddalore,39434,33550,5481,403,18-05-2021
Dharmapuri,14025,11648,2287,90,18-05-2021
Dindigul,21574,18699,2600,275,18-05-2021
Erode,35760,27907,7652,201,18-05-2021
Kallakurichi,16500,14015,2367,118,18-05-2021
Kancheepuram,52653,45305,6605,743,18-05-2021
Kanyakumari,34729,25996,8248,485,18-05-2021
Karur,12202,10105,1981,116,18-05-2021
Krishnagiri,24267,17754,6352,161,18-05-2021
Madurai,49452,38630,10117,705,18-05-2021
Nagapattinam,20505,16783,3481,241,18-05-2021
Namakkal,22787,19473,3147,167,18-05-2021
Nilgiris,13427,11081,2282,64,18-05-2021
Perambalur,5045,3327,1676,42,18-05-2021
Pudukottai,17862,15444,2242,176,18-05-2021
Ramanathapuram,12691,9956,2584,151,18-05-2021
Ranipet,27877,24591,2998,288,18-05-2021
Salem,53099,47484,4914,701,18-05-2021
Sivagangai,11627,9966,1516,145,18-05-2021
Tenkasi,17131,14085,2802,244,18-05-2021
Thanjavur,35733,30688,4634,411,18-05-2021
Theni,28517,23466,4776,275,18-05-2021
Thirupathur,16238,12471,3537,230,18-05-2021
Thiruvallur,84641,72562,11017,1062,18-05-2021
Thiruvannamalai,31680,27045,4276,359,18-05-2021
Thiruvarur,21252,17888,3209,155,18-05-2021
Thoothukudi,37726,31209,6318,199,18-05-2021
Tirunelveli,36786,30052,6434,300,18-05-2021
Tiruppur,39037,31662,7092,283,18-05-2021
Trichy,39803,30893,8542,368,18-05-2021
Vellore,36049,32046,3471,532,18-05-2021
Villupuram,26700,23136,3386,178,18-05-2021
Virudhunagar,27034,22926,3815,293,18-05-2021
AirportSurveillance(International),1004,1001,2,1,18-05-2021
AirportSurveillance(Domestic),1075,1074,0,1,18-05-2021
RailwaySurveillance,428,428,0,0,18-05-2021
Ariyalur,8210,6522,1624,64,19-05-2021
Chengalpattu,120228,103643,15237,1348,19-05-2021
Chennai,456496,402139,48326,6031,19-05-2021
Coimbatore,125151,97040,27189,922,19-05-2021
Cuddalore,40290,33858,6016,416,19-05-2021
Dharmapuri,14360,11948,2321,91,19-05-2021
Dindigul,21970,19062,2631,277,19-05-2021
Erode,37107,28711,8186,210,19-05-2021
Kallakurichi,16865,14206,2541,118,19-05-2021
Kancheepuram,53480,46072,6657,751,19-05-2021
Kanyakumari,35614,26503,8603,508,19-05-2021
Karur,12582,10339,2122,121,19-05-2021
Krishnagiri,24986,18083,6738,165,19-05-2021
Madurai,50610,38765,11126,719,19-05-2021
Nagapattinam,21102,17131,3722,249,19-05-2021
Namakkal,23200,19835,3195,170,19-05-2021
Nilgiris,13747,11251,2432,64,19-05-2021
Perambalur,5264,3442,1780,42,19-05-2021
Pudukottai,18283,15650,2453,180,19-05-2021
Ramanathapuram,13066,10153,2761,152,19-05-2021
Ranipet,28217,24793,3129,295,19-05-2021
Salem,53895,48034,5145,716,19-05-2021
Sivagangai,11842,10164,1533,145,19-05-2021
Tenkasi,17558,14210,3103,245,19-05-2021
Thanjavur,36553,31337,4800,416,19-05-2021
Theni,29318,23852,5190,276,19-05-2021
Thirupathur,16761,12774,3748,239,19-05-2021
Thiruvallur,86333,73862,11390,1081,19-05-2021
Thiruvannamalai,32282,27325,4594,363,19-05-2021
Thiruvarur,21967,18196,3615,156,19-05-2021
Thoothukudi,38656,31973,6483,200,19-05-2021
Tirunelveli,37453,30520,6625,308,19-05-2021
Tiruppur,40610,32237,8088,285,19-05-2021
Trichy,41272,31289,9602,381,19-05-2021
Vellore,36654,32415,3695,544,19-05-2021
Villupuram,27249,23714,3351,184,19-05-2021
Virudhunagar,27487,23364,3823,300,19-05-2021
AirportSurveillance(International),1004,1001,2,1,19-05-2021
AirportSurveillance(Domestic),1075,1074,0,1,19-05-2021
RailwaySurveillance,428,428,0,0,19-05-2021
Ariyalur,8476,6654,1758,64,20-05-2021
Chengalpattu,122369,105734,15240,1395,20-05-2021
Chennai,462448,408676,47667,6105,20-05-2021
Coimbatore,128493,99188,28363,942,20-05-2021
Cuddalore,41148,34142,6585,421,20-05-2021
Dharmapuri,14727,12028,2607,92,20-05-2021
Dindigul,22353,19455,2602,296,20-05-2021
Erode,38614,29494,8904,216,20-05-2021
Kallakurichi,17264,14303,2842,119,20-05-2021
Kancheepuram,54373,46764,6834,775,20-05-2021
Kanyakumari,36711,27079,9106,526,20-05-2021
Karur,12879,10674,2074,131,20-05-2021
Krishnagiri,25714,18541,7003,170,20-05-2021
Madurai,51881,39393,11758,730,20-05-2021
Nagapattinam,21817,17470,4095,252,20-05-2021
Namakkal,23581,20189,3220,172,20-05-2021
Nilgiris,14072,11436,2570,66,20-05-2021
Perambalur,5467,3569,1856,42,20-05-2021
Pudukottai,18729,15877,2671,181,20-05-2021
Ramanathapuram,13416,10314,2950,152,20-05-2021
Ranipet,28949,25258,3381,310,20-05-2021
Salem,54567,48887,4953,727,20-05-2021
Sivagangai,12074,10378,1551,145,20-05-2021
Tenkasi,18011,14466,3296,249,20-05-2021
Thanjavur,37231,32026,4781,424,20-05-2021
Theni,30003,24406,5314,283,20-05-2021
Thirupathur,17328,13070,4008,250,20-05-2021
Thiruvallur,88095,75197,11797,1101,20-05-2021
Thiruvannamalai,32964,27631,4965,368,20-05-2021
Thiruvarur,22703,18572,3972,159,20-05-2021
Thoothukudi,39658,32414,7040,204,20-05-2021
Tirunelveli,38049,31017,6722,310,20-05-2021
Tiruppur,42192,32864,9038,290,20-05-2021
Trichy,42651,31790,10467,394,20-05-2021
Vellore,37216,32954,3687,575,20-05-2021
Villupuram,27788,24096,3503,189,20-05-2021
Virudhunagar,28286,23774,4208,304,20-05-2021
AirportSurveillance(International),1004,1001,2,1,20-05-2021
AirportSurveillance(Domestic),1075,1074,0,1,20-05-2021
RailwaySurveillance,428,428,0,0,20-05-2021
Ariyalur,8759,6789,1906,64,21-05-2021
Chengalpattu,124672,107907,15330,1435,21-05-2021
Chennai,468262,413266,48782,6214,21-05-2021
Coimbatore,131744,101432,29345,967,21-05-2021
Cuddalore,42018,34505,7084,429,21-05-2021
Dharmapuri,15113,12226,2793,94,21-05-2021
Dindigul,22778,19750,2716,312,21-05-2021
Erode,40254,30306,9722,226,21-05-2021
Kallakurichi,17565,14392,3053,120,21-05-2021
Kancheepuram,55543,47631,7125,787,21-05-2021
Kanyakumari,37965,27374,10048,543,21-05-2021
Karur,13224,10980,2105,139,21-05-2021
Krishnagiri,26455,18838,7444,173,21-05-2021
Madurai,53243,40180,12306,757,21-05-2021
Nagapattinam,22402,17847,4287,268,21-05-2021
Namakkal,23993,20577,3236,180,21-05-2021
Nilgiris,14429,11660,2702,67,21-05-2021
Perambalur,5674,3652,1979,43,21-05-2021
Pudukottai,19154,15988,2983,183,21-05-2021
Ramanathapuram,13787,10639,2994,154,21-05-2021
Ranipet,29587,26008,3257,322,21-05-2021
Salem,55296,49322,5234,740,21-05-2021
Sivagangai,12287,10562,1579,146,21-05-2021
Tenkasi,18448,14728,3469,251,21-05-2021
Thanjavur,38057,32225,5399,433,21-05-2021
Theni,30726,25034,5403,289,21-05-2021
Thirupathur,17957,13561,4140,256,21-05-2021
Thiruvallur,89681,76502,12046,1133,21-05-2021
Thiruvannamalai,33697,27925,5396,376,21-05-2021
Thiruvarur,23442,18897,4385,160,21-05-2021
Thoothukudi,40549,33328,7011,210,21-05-2021
Tirunelveli,38724,31605,6806,313,21-05-2021
Tiruppur,44000,33568,10132,300,21-05-2021
Trichy,43993,32723,10861,409,21-05-2021
Vellore,37581,33528,3465,588,21-05-2021
Villupuram,28282,24774,3310,198,21-05-2021
Virudhunagar,29140,24029,4794,317,21-05-2021
AirportSurveillance(International),1004,1001,2,1,21-05-2021
AirportSurveillance(Domestic),1075,1074,0,1,21-05-2021
RailwaySurveillance,428,428,0,0,21-05-2021
Ariyalur,9034,7018,1950,66,22-05-2021
Chengalpattu,126657,110062,15121,1474,22-05-2021
Chennai,473671,418137,49236,6298,22-05-2021
Coimbatore,134912,103809,30104,999,22-05-2021
Cuddalore,42825,34818,7572,435,22-05-2021
Dharmapuri,15474,12444,2934,96,22-05-2021
Dindigul,23234,20140,2779,315,22-05-2021
Erode,42007,31287,10484,236,22-05-2021
Kallakurichi,17832,14513,3198,121,22-05-2021
Kancheepuram,56574,48671,7101,802,22-05-2021
Kanyakumari,39587,27790,11234,563,22-05-2021
Karur,13539,11316,2082,141,22-05-2021
Krishnagiri,27236,18947,8114,175,22-05-2021
Madurai,54588,40928,12875,785,22-05-2021
Nagapattinam,23057,18418,4368,271,22-05-2021
Namakkal,24598,20988,3425,185,22-05-2021
Nilgiris,14815,11970,2778,67,22-05-2021
Perambalur,5895,3748,2100,47,22-05-2021
Pudukottai,19554,16214,3154,186,22-05-2021
Ramanathapuram,14154,10790,3185,179,22-05-2021
Ranipet,30095,26210,3555,330,22-05-2021
Salem,56042,49683,5601,758,22-05-2021
Sivagangai,12450,10793,1511,146,22-05-2021
Tenkasi,19002,15029,3713,260,22-05-2021
Thanjavur,38944,32748,5758,438,22-05-2021
Theni,31431,25600,5541,290,22-05-2021
Thirupathur,18455,13914,4269,272,22-05-2021
Thiruvallur,91238,77989,12095,1154,22-05-2021
Thiruvannamalai,34461,28383,5700,378,22-05-2021
Thiruvarur,24013,19241,4609,163,22-05-2021
Thoothukudi,41445,34147,7077,221,22-05-2021
Tirunelveli,39312,32386,6608,318,22-05-2021
Tiruppur,45472,34326,10823,323,22-05-2021
Trichy,45353,33955,10973,425,22-05-2021
Vellore,38161,33680,3880,601,22-05-2021
Villupuram,28806,25293,3312,201,22-05-2021
Virudhunagar,30431,24649,5457,325,22-05-2021
AirportSurveillance(International),1004,1001,2,1,22-05-2021
AirportSurveillance(Domestic),1075,1074,0,1,22-05-2021
RailwaySurveillance,428,428,0,0,22-05-2021
Ariyalur,9327,7235,2020,72,23-05-2021
Chengalpattu,128677,111634,15540,1503,23-05-2021
Chennai,478710,423276,49055,6379,23-05-2021
Coimbatore,138861,106263,31578,1020,23-05-2021
Cuddalore,43547,35451,7653,443,23-05-2021
Dharmapuri,15825,12710,3018,97,23-05-2021
Dindigul,23769,20335,3114,320,23-05-2021
Erode,43346,31908,11198,240,23-05-2021
Kallakurichi,18255,14760,3374,121,23-05-2021
Kancheepuram,57469,49509,7143,817,23-05-2021
Kanyakumari,40752,28830,11339,583,23-05-2021
Karur,13815,11463,2203,149,23-05-2021
Krishnagiri,28048,19157,8714,177,23-05-2021
Madurai,55726,41837,13091,798,23-05-2021
Nagapattinam,23518,18786,4458,274,23-05-2021
Namakkal,25637,21499,3950,188,23-05-2021
Nilgiris,15216,12300,2846,70,23-05-2021
Perambalur,6370,3825,2496,49,23-05-2021
Pudukottai,19973,16426,3358,189,23-05-2021
Ramanathapuram,14411,10975,3252,184,23-05-2021
Ranipet,30808,26454,4017,337,23-05-2021
Salem,57016,50560,5683,773,23-05-2021
Sivagangai,12665,10913,1605,147,23-05-2021
Tenkasi,19341,15200,3870,271,23-05-2021
Thanjavur,40123,33311,6355,457,23-05-2021
Theni,32000,25987,5711,302,23-05-2021
Thirupathur,19122,14078,4761,283,23-05-2021
Thiruvallur,92536,79228,12126,1182,23-05-2021
Thiruvannamalai,35485,28882,6221,382,23-05-2021
Thiruvarur,24587,19633,4786,168,23-05-2021
Thoothukudi,42292,34798,7267,227,23-05-2021
Tirunelveli,39794,33120,6352,322,23-05-2021
Tiruppur,46927,35089,11504,334,23-05-2021
Trichy,46762,35181,11143,438,23-05-2021
Vellore,38712,33768,4311,633,23-05-2021
Villupuram,29310,25631,3476,203,23-05-2021
Virudhunagar,31105,25218,5553,334,23-05-2021
AirportSurveillance(International),1004,1001,2,1,23-05-2021
AirportSurveillance(Domestic),1075,1074,0,1,23-05-2021
RailwaySurveillance,428,428,0,0,23-05-2021
Ariyalur,9575,7465,2036,74,24-05-2021
Chengalpattu,130587,112788,16257,1542,24-05-2021
Chennai,483757,429146,48151,6460,24-05-2021
Coimbatore,143164,108791,33325,1048,24-05-2021
Cuddalore,44261,36079,7733,449,24-05-2021
Dharmapuri,16201,12994,3107,100,24-05-2021
Dindigul,24200,20709,3166,325,24-05-2021
Erode,44818,32756,11810,252,24-05-2021
Kallakurichi,18593,14987,3485,121,24-05-2021
Kancheepuram,58300,50316,7153,831,24-05-2021
Kanyakumari,41835,29978,11252,605,24-05-2021
Karur,14145,11584,2408,153,24-05-2021
Krishnagiri,28882,20325,8376,181,24-05-2021
Madurai,57182,42752,13616,814,24-05-2021
Nagapattinam,24097,19048,4772,277,24-05-2021
Namakkal,26378,21882,4303,193,24-05-2021
Nilgiris,15651,12677,2901,73,24-05-2021
Perambalur,6505,4021,2434,50,24-05-2021
Pudukottai,20367,16632,3543,192,24-05-2021
Ramanathapuram,14707,11363,3154,190,24-05-2021
Ranipet,31173,26673,4154,346,24-05-2021
Salem,57913,51395,5707,811,24-05-2021
Sivagangai,12880,10998,1729,153,24-05-2021
Tenkasi,19797,15545,3978,274,24-05-2021
Thanjavur,41043,33962,6620,461,24-05-2021
Theni,32541,26265,5973,303,24-05-2021
Thirupathur,19680,14539,4842,299,24-05-2021
Thiruvallur,93674,79846,12630,1198,24-05-2021
Thiruvannamalai,36611,29386,6842,383,24-05-2021
Thiruvarur,25299,19773,5356,170,24-05-2021
Thoothukudi,43154,35118,7802,234,24-05-2021
Tirunelveli,40281,34052,5907,322,24-05-2021
Tiruppur,48697,35647,12711,339,24-05-2021
Trichy,48041,36801,10780,460,24-05-2021
Vellore,39126,34213,4271,642,24-05-2021
Villupuram,29778,25990,3582,206,24-05-2021
AirportSurveillance(International),1004,1001,2,1,24-05-2021
AirportSurveillance(Domestic),1075,1074,0,1,24-05-2021
RailwaySurveillance,428,428,0,0,24-05-2021
Ariyalur,9790,7546,2166,78,25-05-2021
Chengalpattu,132492,114283,16630,1579,25-05-2021
Chennai,487691,433592,47553,6546,25-05-2021
Coimbatore,146805,111480,34253,1072,25-05-2021
Cuddalore,44863,36896,7509,458,25-05-2021
Dharmapuri,16591,13335,3153,103,25-05-2021
Dindigul,24734,21075,3318,341,25-05-2021
Erode,46366,33712,12389,265,25-05-2021
Kallakurichi,18973,15347,3500,126,25-05-2021
Kancheepuram,59200,51393,6951,856,25-05-2021
Kanyakumari,42971,31435,10929,607,25-05-2021
Karur,14459,11735,2561,163,25-05-2021
Krishnagiri,29671,21945,7543,183,25-05-2021
Madurai,58536,43679,14034,823,25-05-2021
Nagapattinam,24711,19597,4817,297,25-05-2021
Namakkal,27092,22311,4586,195,25-05-2021
Nilgiris,16126,13048,3005,73,25-05-2021
Perambalur,6801,4195,2556,50,25-05-2021
Pudukottai,20717,16901,3624,192,25-05-2021
Ranipet,31611,26890,4369,352,25-05-2021
Salem,58850,52224,5795,831,25-05-2021
Sivagangai,13198,11084,1961,153,25-05-2021
Tenkasi,20185,15874,4023,288,25-05-2021
Thanjavur,42151,34995,6677,479,25-05-2021
Theni,33116,26405,6401,310,25-05-2021
Thirupathur,20163,15126,4728,309,25-05-2021
Thiruvannamalai,37578,30028,7163,387,25-05-2021
Thiruvarur,26205,20214,5817,174,25-05-2021
Thoothukudi,43844,35636,7966,242,25-05-2021
Tirunelveli,40763,34765,5670,328,25-05-2021
Tiruppur,50554,36383,13807,364,25-05-2021
Trichy,49158,38353,10328,477,25-05-2021
Vellore,39609,34403,4560,646,25-05-2021
Villupuram,30394,26348,3831,215,25-05-2021
Virudhunagar,32828,26164,6315,349,25-05-2021
AirportSurveillance(International),1004,1001,2,1,25-05-2021
AirportSurveillance(Domestic),1075,1074,0,1,25-05-2021
RailwaySurveillance,428,428,0,0,25-05-2021
Ariyalur,10013,7693,2235,85,26-05-2021
Chengalpattu,133825,116432,15776,1617,26-05-2021
Chennai,491197,438815,45738,6644,26-05-2021
Coimbatore,151077,114267,35707,1103,26-05-2021
Cuddalore,45514,37513,7538,463,26-05-2021
Dharmapuri,16954,13684,3162,108,26-05-2021
Dindigul,25215,21498,3368,349,26-05-2021
Erode,47998,34733,12986,279,26-05-2021
Kallakurichi,19397,15517,3752,128,26-05-2021
Kanyakumari,44089,32588,10871,630,26-05-2021
Karur,14822,11987,2666,169,26-05-2021
Krishnagiri,30342,22762,7396,184,26-05-2021
Madurai,60074,44142,15096,836,26-05-2021
Nagapattinam,25528,20248,4978,302,26-05-2021
Namakkal,27792,22702,4890,200,26-05-2021
Nilgiris,16550,13389,3086,75,26-05-2021
Perambalur,7028,4348,2628,52,26-05-2021
Pudukottai,21040,17271,3576,193,26-05-2021
Ramanathapuram,15320,12040,3081,199,26-05-2021
Ranipet,32154,27236,4551,367,26-05-2021
Salem,59699,52821,6016,862,26-05-2021
Sivagangai,13433,11257,2024,152,26-05-2021
Tenkasi,20518,16133,4095,290,26-05-2021
Thanjavur,43154,35475,7199,480,26-05-2021
Theni,33645,26654,6666,325,26-05-2021
Thirupathur,20496,15848,4332,316,26-05-2021
Thiruvallur,96302,82681,12355,1266,26-05-2021
Thiruvannamalai,38281,30514,7376,391,26-05-2021
Thiruvarur,27004,20880,5946,178,26-05-2021
Thoothukudi,44357,36235,7872,250,26-05-2021
Tirunelveli,41243,35404,5507,332,26-05-2021
Tiruppur,52438,37150,14909,379,26-05-2021
Trichy,50937,39617,10823,497,26-05-2021
Vellore,40033,35299,4073,661,26-05-2021
Villupuram,31149,27015,3913,221,26-05-2021
Virudhunagar,34033,26682,6991,360,26-05-2021
AirportSurveillance(International),1004,1001,2,1,26-05-2021
AirportSurveillance(Domestic),1075,1074,0,1,26-05-2021
RailwaySurveillance,428,428,0,0,26-05-2021
Ariyalur,10283,7797,2393,93,27-05-2021
Chengalpattu,135289,118762,14858,1669,27-05-2021
Chennai,493881,443534,43624,6723,27-05-2021
Coimbatore,155820,117197,37488,1135,27-05-2021
Cuddalore,46137,38083,7582,472,27-05-2021
Dharmapuri,17265,13981,3172,112,27-05-2021
Dindigul,25576,21789,3427,360,27-05-2021
Erode,49685,35879,13516,290,27-05-2021
Kallakurichi,19833,15712,3993,128,27-05-2021
Kancheepuram,60789,52908,6990,891,27-05-2021
Kanyakumari,45069,33893,10536,640,27-05-2021
Karur,15233,12177,2884,172,27-05-2021
Krishnagiri,30810,23840,6783,187,27-05-2021
Madurai,61478,44831,15801,846,27-05-2021
Nagapattinam,26299,20890,5103,306,27-05-2021
Namakkal,28681,23118,5354,209,27-05-2021
Nilgiris,16985,13709,3198,78,27-05-2021
Perambalur,7305,4516,2737,52,27-05-2021
Pudukottai,21424,17499,3732,193,27-05-2021
Ramanathapuram,15581,12254,3123,204,27-05-2021
Ranipet,32718,27818,4510,390,27-05-2021
Salem,60689,53458,6338,893,27-05-2021
Sivagangai,13599,11428,2015,156,27-05-2021
Tenkasi,20995,16552,4139,304,27-05-2021
Thanjavur,44093,36131,7469,493,27-05-2021
Theni,34211,27177,6705,329,27-05-2021
Thirupathur,21012,16307,4381,324,27-05-2021
Thiruvallur,97566,84668,11608,1290,27-05-2021
Thiruvannamalai,39026,30979,7651,396,27-05-2021
Thiruvarur,27495,21444,5868,183,27-05-2021
Thoothukudi,45035,36944,7838,253,27-05-2021
Tirunelveli,41670,35894,5442,334,27-05-2021
Tiruppur,54524,38059,16052,413,27-05-2021
Trichy,52563,41013,11043,507,27-05-2021
Vellore,40488,35916,3907,665,27-05-2021
Villupuram,31954,27541,4187,226,27-05-2021
Virudhunagar,35053,27083,7599,371,27-05-2021
AirportSurveillance(International),1004,1001,2,1,27-05-2021
AirportSurveillance(Domestic),1075,1074,0,1,27-05-2021
RailwaySurveillance,428,428,0,0,27-05-2021
Ariyalur,11034,8354,2569,111,30-05-2021
Chengalpattu,139263,125981,11493,1789,30-05-2021
Chennai,501930,459499,35423,7008,30-05-2021
Coimbatore,167003,126721,39047,1235,30-05-2021
Cuddalore,48038,40513,7016,509,30-05-2021
Dharmapuri,18288,15061,3100,127,30-05-2021
Dindigul,26666,22794,3480,392,30-05-2021
Erode,54914,39367,15207,340,30-05-2021
Kallakurichi,20829,16412,4287,130,30-05-2021
Kancheepuram,62912,55350,6614,948,30-05-2021
Kanyakumari,47910,37216,9991,703,30-05-2021
Karur,16732,12996,3539,197,30-05-2021
Krishnagiri,32282,26879,5208,195,30-05-2021
Madurai,64207,47504,15815,888,30-05-2021
Nagapattinam,28376,22819,5231,326,30-05-2021
Namakkal,31304,24511,6553,240,30-05-2021
Nilgiris,18491,14777,3626,88,30-05-2021
Perambalur,8206,5457,2694,55,30-05-2021
Pudukottai,22521,18241,4076,204,30-05-2021
Ramanathapuram,16498,12941,3335,222,30-05-2021
Ranipet,34132,28730,4962,440,30-05-2021
Salem,64454,55408,8096,950,30-05-2021
Sivagangai,14236,12100,1977,159,30-05-2021
Tenkasi,22168,17850,3989,329,30-05-2021
Thanjavur,46524,38684,7330,510,30-05-2021
Theni,35893,29190,6355,348,30-05-2021
Thirupathur,22414,17877,4189,348,30-05-2021
Thiruvallur,100475,90421,8691,1363,30-05-2021
Thiruvannamalai,40836,32671,7754,411,30-05-2021
Thiruvarur,29236,23336,5709,191,30-05-2021
Thoothukudi,47162,38919,7969,274,30-05-2021
Tirunelveli,42920,37802,4776,342,30-05-2021
Tiruppur,59563,41065,18035,463,30-05-2021
Trichy,56090,44723,10816,551,30-05-2021
Vellore,41760,37534,3501,725,30-05-2021
Villupuram,33802,28700,4856,246,30-05-2021
Virudhunagar,37004,28374,8235,395,30-05-2021
AirportSurveillance(International),1004,1001,2,1,30-05-2021
AirportSurveillance(Domestic),1075,1074,0,1,30-05-2021
RailwaySurveillance,428,428,0,0,30-05-2021
